,Timestamp,Activity,Scope,Name,Reason,Type,Source RSE,Destination RSE,Duration,Bytes,FTS Link,Source URL,Destination URL,Protocol,File size,data._id,data._version,data.created_at,data.dataset,data.datasetScope,data.datatype,data.did_type,data.event_timestamp,data.remote_access,data.rse_id,highlight,metadata._id,metadata._version,sort,did,temp,webui_link,webui_checksum
6944,"02/19/2024, 03:49:20 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22357964._000176.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (f5dc165c != 1c844a10),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,16.0 s,10.38 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/c09c0492-ced9-11ee-8e5b-fa163e017123,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357964._000176.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/77/0f/DAOD_RPVLL.22357964._000176.pool.root.1,davs,10383624150,-352218911-1708314560000,1708314566,1708314507000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314560000,True,UNKNOWN,0,-352218911-1708314560000,1708314566,"1708314560000, 4323166",data16_13TeV:DAOD_RPVLL.22357964._000176.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22357964._000176.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22357964._000176.pool.root.1,
6950,"02/19/2024, 03:49:01 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22357888._000146.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (61f5c8db != 4e149a8c),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,16.0 s,8.78 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/c012be58-ced9-11ee-9405-fa163ea7ee69,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357888._000146.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/06/eb/DAOD_RPVLL.22357888._000146.pool.root.1,davs,8775063030,2008359626-1708314541000,1708314549,1708314502000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314541000,True,UNKNOWN,0,2008359626-1708314541000,1708314549,"1708314541000, 4339262",data16_13TeV:DAOD_RPVLL.22357888._000146.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22357888._000146.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22357888._000146.pool.root.1,
6955,"02/19/2024, 03:49:00 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22357888._000245.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (a258d008 != 3ec39be9),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,16.0 s,8.81 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/c2bb152e-ced9-11ee-9971-fa163e087e6b,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357888._000245.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/87/e9/DAOD_RPVLL.22357888._000245.pool.root.1,davs,8810055873,906401175-1708314540000,1708314549,1708314506000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314540000,True,UNKNOWN,0,906401175-1708314540000,1708314549,"1708314540000, 3584943",data16_13TeV:DAOD_RPVLL.22357888._000245.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22357888._000245.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22357888._000245.pool.root.1,
6958,"02/19/2024, 03:48:57 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22358160._000038.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (6a9edaa3 != 8c40ca31),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,15.0 s,7.83 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/c1909b4c-ced9-11ee-b5c2-fa163e5a92fb,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22358160._000038.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/3b/ab/DAOD_RPVLL.22358160._000038.pool.root.1,davs,7828300858,1776564803-1708314537000,1708314549,1708314502000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314537000,True,UNKNOWN,0,1776564803-1708314537000,1708314549,"1708314537000, 3585587",data16_13TeV:DAOD_RPVLL.22358160._000038.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22358160._000038.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22358160._000038.pool.root.1,
6967,"02/19/2024, 03:48:03 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22357773._000008.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (e39a8085 != 59b0ff38),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,16.0 s,11.26 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/9a11ac8c-ced9-11ee-9405-fa163ea7ee69,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357773._000008.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/5e/e0/DAOD_RPVLL.22357773._000008.pool.root.1,davs,11262938076,-625200755-1708314483000,1708314493,1708314440000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314483000,True,UNKNOWN,0,-625200755-1708314483000,1708314493,"1708314483000, 4294817",data16_13TeV:DAOD_RPVLL.22357773._000008.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22357773._000008.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22357773._000008.pool.root.1,
6973,"02/19/2024, 03:47:07 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22358335._000156.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (80f684a1 != 94150ce0),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,15.0 s,9.92 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/79713e02-ced9-11ee-a686-fa163e5ce271,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22358335._000156.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/0d/d0/DAOD_RPVLL.22358335._000156.pool.root.1,davs,9923859467,1569396317-1708314427000,1708314441,1708314380000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314427000,True,UNKNOWN,0,1569396317-1708314427000,1708314441,"1708314427000, 3554615",data16_13TeV:DAOD_RPVLL.22358335._000156.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22358335._000156.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22358335._000156.pool.root.1,
6974,"02/19/2024, 03:46:53 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22357261._000004.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (bec6655d != a4fc199a),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,16.0 s,9.32 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/750b2896-ced9-11ee-a824-fa163e5ce271,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357261._000004.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/ec/eb/DAOD_RPVLL.22357261._000004.pool.root.1,davs,9322053461,-1422020473-1708314413000,1708314426,1708314370000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314413000,True,UNKNOWN,0,-1422020473-1708314413000,1708314426,"1708314413000, 4303437",data16_13TeV:DAOD_RPVLL.22357261._000004.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22357261._000004.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22357261._000004.pool.root.1,
6975,"02/19/2024, 03:46:53 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22357823._000197.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (534eb971 != e29d04c8),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,16.0 s,8.85 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/77da7afe-ced9-11ee-9701-fa163e2cda95,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357823._000197.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/41/46/DAOD_RPVLL.22357823._000197.pool.root.1,davs,8847544067,833913888-1708314413000,1708314422,1708314378000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314413000,True,UNKNOWN,0,833913888-1708314413000,1708314422,"1708314413000, 4284519",data16_13TeV:DAOD_RPVLL.22357823._000197.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22357823._000197.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22357823._000197.pool.root.1,
6983,"02/19/2024, 03:46:37 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22358019._000196.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (164bb762 != c2a0f09a),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,16.0 s,9.84 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/6a2ac670-ced9-11ee-b5c2-fa163e5a92fb,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22358019._000196.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/5b/b4/DAOD_RPVLL.22358019._000196.pool.root.1,davs,9837902787,1968465990-1708314397000,1708314404,1708314362000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314397000,True,UNKNOWN,0,1968465990-1708314397000,1708314404,"1708314397000, 1991625",data16_13TeV:DAOD_RPVLL.22358019._000196.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22358019._000196.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22358019._000196.pool.root.1,
6989,"02/19/2024, 03:46:35 AM",Analysis Input,data16_13TeV,DAOD_RPVLL.22357987._000177.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (c09af42b != a5ecc19f),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,16.0 s,7.39 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/6b37e7a0-ced9-11ee-b8f4-fa163e5a92fb,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357987._000177.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/fe/ba/DAOD_RPVLL.22357987._000177.pool.root.1,davs,7393482829,1918325934-1708314395000,1708314399,1708314362000,UNKNOWN,UNKNOWN,DAOD_RPVLL,UNKNOWN,1708314395000,True,UNKNOWN,0,1918325934-1708314395000,1708314399,"1708314395000, 3892611",data16_13TeV:DAOD_RPVLL.22357987._000177.pool.root.1,data16_13TeV&name=DAOD_RPVLL.22357987._000177.pool.root.1,https://rucio-ui.cern.ch/did?scope=data16_13TeV&name=DAOD_RPVLL.22357987._000177.pool.root.1,
