,Name,Path,Size,Size_H,Rucio_Checksum,Destination_Checksum,Seal_Checksum
0,/rucio/mc16_13TeV/AOD.14795494._002873.pool.root.1,0,0B,a4a19f50,b73b0c87,
1,/rucio/mc16_13TeV/AOD.14795494._002826.pool.root.1,0,0B,2c97bdfc,931d9139,
2,/rucio/mc16_13TeV/AOD.14795494._002817.pool.root.1,0,0B,5789fb9d,93be999d,
3,/rucio/mc16_13TeV/AOD.14795494._002824.pool.root.1,0,0B,7f84beae,f20f6833,
4,/rucio/mc16_13TeV/AOD.14795494._002802.pool.root.1,0,0B,ce6308d3,c98c2f4c,
5,/rucio/mc16_13TeV/AOD.14795494._002876.pool.root.1,0,0B,b68c398d,b7b83977,
6,/rucio/mc16_13TeV/AOD.14795494._002402.pool.root.1,0,0B,b1286601,940de7dc,
7,/rucio/mc16_13TeV/AOD.14795494._002845.pool.root.1,0,0B,49cb71d2,e1d77dca,
8,/rucio/mc16_13TeV/AOD.14795494._002720.pool.root.1,0,0B,22d3db64,8e89f7e5,
9,/rucio/mc16_13TeV/AOD.14795494._002683.pool.root.1,0,0B,dd28d068,8f620589,
10,/rucio/mc16_13TeV/AOD.14795494._002359.pool.root.1,0,0B,817fcb84,38f70b04,
11,/rucio/mc16_13TeV/AOD.14795494._002691.pool.root.1,0,0B,f635398b,efc0f089,
12,/rucio/mc16_13TeV/AOD.14795494._002865.pool.root.1,0,0B,8892f7a0,e3f96c4c,
13,/rucio/mc16_13TeV/AOD.14795494._002418.pool.root.1,0,0B,9c438b69,94fa4ca5,
14,/rucio/mc16_13TeV/AOD.14795494._002713.pool.root.1,0,0B,4934b499,99123234,
15,/rucio/mc16_13TeV/AOD.14795494._002821.pool.root.1,0,0B,b267613b,a6254321,
16,/rucio/mc16_13TeV/AOD.14795494._002843.pool.root.1,0,0B,2d7ad2ad,01663a84,
17,/rucio/mc16_13TeV/AOD.14795494._002859.pool.root.1,0,0B,d982d8c1,32034438,
18,/rucio/mc16_13TeV/AOD.14795494._002706.pool.root.1,0,0B,49f53dfa,ecf52ef9,
19,/rucio/mc16_13TeV/AOD.14795494._002379.pool.root.1,0,0B,23efb513,5df56f4a,
20,/rucio/mc16_13TeV/AOD.14795494._002704.pool.root.1,0,0B,433afb24,4a3ed50f,
21,/rucio/mc16_13TeV/AOD.14795494._002703.pool.root.1,0,0B,3688cb10,d014e4c2,
22,/rucio/mc16_13TeV/AOD.14795494._002872.pool.root.1,0,0B,fb8c46ac,c21609af,
23,/rucio/mc16_13TeV/AOD.14795494._002822.pool.root.1,0,0B,f1f5a5bc,5b699b9e,
24,/rucio/mc16_13TeV/AOD.14795494._002858.pool.root.1,0,0B,353bd905,f50b4955,
25,/rucio/mc16_13TeV/AOD.14795494._002697.pool.root.1,0,0B,db52c6e3,032c57b5,
26,/rucio/mc16_13TeV/AOD.14795494._002452.pool.root.1,0,0B,1ed464da,94a57e2b,
27,/rucio/mc16_13TeV/AOD.14795494._002412.pool.root.1,0,0B,ebdf9e24,bd436ece,
28,/rucio/mc16_13TeV/AOD.14795494._002455.pool.root.1,0,0B,0583c56d,c2de3890,
29,/rucio/mc16_13TeV/AOD.14795494._002717.pool.root.1,0,0B,d687f129,08b1a1d4,
30,/rucio/mc16_13TeV/AOD.14795494._002809.pool.root.1,0,0B,79666d44,12fcbe4f,
31,/rucio/mc16_13TeV/AOD.14795494._002864.pool.root.1,0,0B,03f5a921,bd1fcd88,
32,/rucio/mc16_13TeV/AOD.14795494._002687.pool.root.1,0,0B,5a90ee77,c82074d7,
33,/rucio/mc16_13TeV/AOD.14795494._002805.pool.root.1,0,0B,da564f58,b8524f62,
34,/rucio/mc16_13TeV/AOD.14795494._002436.pool.root.1,0,0B,9e1409ad,87052f08,
35,/rucio/mc16_13TeV/AOD.14795494._001889.pool.root.1,0,0B,d4d47878,428c0204,
36,/rucio/mc16_13TeV/AOD.14795494._002694.pool.root.1,0,0B,61144b73,a791bebb,
37,/rucio/mc16_13TeV/AOD.14795494._002699.pool.root.1,0,0B,27e73d31,c9e1a0e8,
38,/rucio/mc16_13TeV/AOD.14795494._002862.pool.root.1,0,0B,36a3d8eb,3c085943,
39,/rucio/mc16_13TeV/AOD.14795494._001963.pool.root.1,0,0B,ab720a4b,15721706,
40,/rucio/mc16_13TeV/AOD.14795494._002799.pool.root.1,0,0B,2e32957d,fc837b04,
41,/rucio/mc16_13TeV/AOD.14795494._002295.pool.root.1,0,0B,c683c7f7,0e31e737,
42,/rucio/mc16_13TeV/AOD.14795494._002825.pool.root.1,0,0B,d47d64ca,fd4ad911,
43,/rucio/mc16_13TeV/AOD.14795494._002832.pool.root.1,0,0B,c170aaba,8e9a7d40,
44,/rucio/mc16_13TeV/AOD.14795494._002300.pool.root.1,0,0B,be8e5511,5752ec62,
45,/rucio/mc16_13TeV/AOD.14795494._002849.pool.root.1,0,0B,81509482,543a8530,
46,/rucio/mc16_13TeV/AOD.14795494._002680.pool.root.1,0,0B,d878819e,362170e0,
47,/rucio/mc16_13TeV/AOD.14795494._002695.pool.root.1,0,0B,f434c89c,767558fd,
48,/rucio/mc16_13TeV/AOD.14795494._002440.pool.root.1,0,0B,0d19f187,9c2d251d,
49,/rucio/mc16_13TeV/AOD.14795494._002846.pool.root.1,0,0B,6e1b4553,34c3b375,
50,/rucio/mc16_13TeV/AOD.14795494._002853.pool.root.1,0,0B,05dc2628,e89ecb59,
51,/rucio/mc16_13TeV/AOD.14795494._002857.pool.root.1,0,0B,cc11a21c,f8b11c90,
