,Unnamed: 0_x,Timestamp,Scope_x,Name_x,Source URL,Destination RSE,Destination URL,Rucio_Checksum,Destination_Checksum_x,Unnamed: 0_y,Name_y,Path,Size,Seal_Checksum,Destination_Checksum_y,status
6,95,"02/20/2024, 06:21:34 PM",data16_13TeV,DAOD_RPVLL.22357954._000159.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357954._000159.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/e4/eb/DAOD_RPVLL.22357954._000159.pool.root.1,26f99f95,175071a4,95,/rucio/data16_13TeV/DAOD_RPVLL.22357954._000159.pool.root.1,9132006502,9.132GB,26f99f95,175071a4,Transfer Error
385,476,"02/20/2024, 10:45:08 AM",data16_13TeV,DAOD_RPVLL.22357954._000168.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357954._000168.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/ad/29/DAOD_RPVLL.22357954._000168.pool.root.1,3548de5e,90e2886e,476,/rucio/data16_13TeV/DAOD_RPVLL.22357954._000168.pool.root.1,9035228945,9.035GB,3548de5e,90e2886e,Transfer Error
94,184,"02/20/2024, 04:54:04 PM",data16_13TeV,DAOD_RPVLL.22357954._000171.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357954._000171.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/59/cc/DAOD_RPVLL.22357954._000171.pool.root.1,abb6b18c,bf0cff72,184,/rucio/data16_13TeV/DAOD_RPVLL.22357954._000171.pool.root.1,8890037011,8.89GB,abb6b18c,bf0cff72,Transfer Error
16,105,"02/20/2024, 06:10:11 PM",data16_13TeV,DAOD_RPVLL.22357954._000186.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357954._000186.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/ae/20/DAOD_RPVLL.22357954._000186.pool.root.1,36bec15f,6240e8eb,105,/rucio/data16_13TeV/DAOD_RPVLL.22357954._000186.pool.root.1,8378963728,8.379GB,36bec15f,6240e8eb,Transfer Error
360,451,"02/20/2024, 11:06:20 AM",data16_13TeV,DAOD_RPVLL.22357954._000219.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357954._000219.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/41/9f/DAOD_RPVLL.22357954._000219.pool.root.1,a10cfbc9,b06e4a22,451,/rucio/data16_13TeV/DAOD_RPVLL.22357954._000219.pool.root.1,7931272546,7.931GB,a10cfbc9,b06e4a22,Transfer Error
253,344,"02/20/2024, 12:58:19 PM",data16_13TeV,DAOD_RPVLL.22357954._000294.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357954._000294.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/af/fb/DAOD_RPVLL.22357954._000294.pool.root.1,cee846c7,414ec4e0,344,/rucio/data16_13TeV/DAOD_RPVLL.22357954._000294.pool.root.1,4602818434,4.603GB,cee846c7,414ec4e0,Transfer Error
445,536,"02/20/2024, 08:20:18 AM",data16_13TeV,DAOD_RPVLL.22357954._000398.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357954._000398.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/b8/b3/DAOD_RPVLL.22357954._000398.pool.root.1,e52ffe0b,0ae0fbe8,536,/rucio/data16_13TeV/DAOD_RPVLL.22357954._000398.pool.root.1,3771010619,3.771GB,e52ffe0b,0ae0fbe8,Transfer Error
57,147,"02/20/2024, 05:33:23 PM",data16_13TeV,DAOD_RPVLL.22357954._000432.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357954._000432.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/1f/f6/DAOD_RPVLL.22357954._000432.pool.root.1,4760707f,68dc4d23,147,/rucio/data16_13TeV/DAOD_RPVLL.22357954._000432.pool.root.1,4004502735,4.005GB,4760707f,68dc4d23,Transfer Error
326,417,"02/20/2024, 11:35:43 AM",data16_13TeV,DAOD_RPVLL.22357964._000025.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357964._000025.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/b6/d8/DAOD_RPVLL.22357964._000025.pool.root.1,9577ab9b,67c612bf,417,/rucio/data16_13TeV/DAOD_RPVLL.22357964._000025.pool.root.1,7361226447,7.361GB,9577ab9b,67c612bf,Transfer Error
39,129,"02/20/2024, 05:47:00 PM",data16_13TeV,DAOD_RPVLL.22357964._000054.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357964._000054.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/49/bf/DAOD_RPVLL.22357964._000054.pool.root.1,625b334a,e508d2d9,129,/rucio/data16_13TeV/DAOD_RPVLL.22357964._000054.pool.root.1,9912342736,9.912GB,625b334a,e508d2d9,Transfer Error
